City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Rome,US,71.47,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
202,Morgan City,US,73.99,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
204,Tocopilla,CL,74.28,few clouds,-22.092,-70.1979,Hotel Galvarino
205,Sur,OM,79.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
207,Kutum,SD,65.97,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
208,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
210,Faanui,PF,80.2,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
213,Katherine,AU,80.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
214,Itarema,BR,82.09,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
217,Woodland,US,58.32,overcast clouds,38.6785,-121.7733,Hampton Inn & Suites Woodland-Sacramento Area
218,Georgetown,MY,76.95,moderate rain,5.4112,100.3354,Cititel Penang
220,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
221,Jennings,US,75.2,broken clouds,38.7192,-90.2604,First Western Inn
227,Saint George,US,58.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
228,Amuntai,ID,74.75,light rain,-2.4177,115.2494,Hotel Balqis
229,Uyuni,BO,56.59,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
230,Grand Gaube,MU,77.38,very heavy rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
234,Namatanai,PG,79.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
237,Mbandaka,CD,78.35,overcast clouds,0.0487,18.2603,Guest House Epervier
240,Nasirabad,IN,82.38,clear sky,26.3,74.7333,Hotel Sheesh Mahal & Restaurant
241,Nawalgarh,IN,84.58,clear sky,27.85,75.2667,Roop Niwas Kothi
245,Villa Union,MX,76.91,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
246,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
247,Hilo,US,75.61,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
249,Haimen,CN,69.69,broken clouds,23.1935,116.6142,Jinghao Business Hotel
250,San Quintin,MX,67.17,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
251,Haapiti,PF,82.13,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
252,Maryborough,AU,70.11,few clouds,-25.5333,152.7,Blue Shades Motel
255,Planaltina,BR,76.66,broken clouds,-15.4528,-47.6142,Retiro Maranata
257,Plettenberg Bay,ZA,65.84,clear sky,-34.0527,23.3716,Thanda Vista B&B
258,Asfi,MA,62.15,few clouds,32.2994,-9.2372,Hôtel Abda
259,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
260,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
262,Voh,NC,75.04,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
264,Cidreira,BR,79.79,clear sky,-30.1811,-50.2056,Hotel Castelo
265,Port Hueneme,US,82.06,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
266,Palmira,CO,78.28,scattered clouds,3.5394,-76.3036,Hotel Las Victorias
267,Massafra,IT,57.81,overcast clouds,40.5888,17.117,Hotel Bizantino
268,Port Shepstone,ZA,71.06,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
269,Bengkulu,ID,76.23,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
271,Bull Savanna,JM,82.26,clear sky,17.8868,-77.5902,Big Red's
272,Constitucion,CL,67.41,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
273,Necochea,AR,70.7,few clouds,-38.5473,-58.7368,dyd -mar Hotel
274,Chitral,PK,55.72,clear sky,35.8462,71.7858,PTDC Motel Chitral
277,Ugoofaaru,MV,83.73,overcast clouds,5.6667,73.0,Ungoofaaru Inn
278,Moussoro,TD,79.92,overcast clouds,13.6408,16.4901,Hôtel Salama
279,Panukulan,PH,80.2,scattered clouds,14.9333,121.8144,AC Lodging House
280,Jhang,PK,76.6,clear sky,33.6748,72.6963,Bismallah sentory store
281,Danane,CI,77.02,light rain,7.2596,-8.155,Lmd
282,Calama,CL,70.29,few clouds,-22.4667,-68.9333,Park Hotel Calama
284,Lagoa,PT,58.78,overcast clouds,39.05,-27.9833,Casa Das Faias
286,Buala,SB,80.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
287,Kiama,AU,70.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
288,Katsuura,JP,56.07,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
291,Pasni,PK,78.62,clear sky,25.2631,63.471,Kashmiri Hotal
292,Vallenar,CL,81.73,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
293,Matola,MZ,75.15,broken clouds,-25.9622,32.4589,Guesthouse Yuba
296,Magaria,NE,83.07,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
297,Rabo De Peixe,PT,60.31,broken clouds,37.8,-25.5833,Quinta das Giestas
298,Kaeo,NZ,59.32,light rain,-35.1,173.7833,Bushido Lodge
300,Sehithwa,BW,68.11,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
301,Abu Dhabi,AE,69.96,clear sky,24.4667,54.3667,Beach Rotana
306,Kudahuvadhoo,MV,83.41,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
307,Lewistown,US,61.54,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
308,Bolivar,US,75.27,broken clouds,37.6145,-93.4105,Comfort Inn Bolivar
309,Alice Springs,AU,76.55,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
310,Maneadero,MX,63.1,scattered clouds,31.7167,-116.5667,Casa De Thompson
311,Bom Jesus,BR,87.6,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
312,Tautira,PF,81.14,few clouds,-17.7333,-149.15,Pension Oaoa
313,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
314,Touros,BR,82.98,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
316,Salvador,SV,82.8,clear sky,13.8333,-88.9167,Chico's Ranch
317,Hervey Bay,AU,70.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
319,Cap Malheureux,MU,77.47,very heavy rain,-19.9842,57.6142,Pereybere Hotel & Spa
320,Buin,CL,68.32,overcast clouds,-33.7333,-70.75,Paihuen
322,Lata,PT,60.08,clear sky,40.1629,-8.3327,Casa Maquia
323,Geraldton,AU,68.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
327,Surt,LY,65.32,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
328,Yenagoa,NG,83.86,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
332,Hamilton,US,73.26,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
334,Lorengau,PG,82.2,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
337,Moyale,KE,80.37,scattered clouds,3.5167,39.0584,La Tahzan Guest House
338,Soyo,AO,80.74,scattered clouds,-6.1349,12.3689,Hotel Mpampa
341,Yaring,TH,78.06,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
345,Creel,MX,58.91,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
346,Ambulu,ID,77.16,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
347,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
348,Ambovombe,MG,76.44,overcast clouds,-25.1667,46.0833,RELAHARA
349,La Asuncion,VE,79.84,clear sky,11.0333,-63.8628,Colinas de Matasiete
353,Mayo,US,58.51,moderate rain,38.8876,-76.5119,Resorts Resource Group International
354,Kingaroy,AU,64.44,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
356,Muli,MV,82.87,few clouds,2.9167,73.5667,Medhufushi Island Resort
360,Bhatkal,IN,79.9,overcast clouds,13.9667,74.5667,Nilawar Palace
362,Iracoubo,GF,78.82,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
363,Correntina,BR,85.64,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
364,Todos Santos,MX,73.76,clear sky,23.45,-110.2167,Hotel California Todos Santos
366,Belmonte,BR,83.37,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
370,San Carlos De Bariloche,AR,55.15,few clouds,-41.1456,-71.3082,Hotel Patagonia
374,Chiang Khong,TH,71.29,clear sky,20.2613,100.4046,Chiangkhong Green Inn Resident
378,Moron,AR,90.01,overcast clouds,-34.6534,-58.6198,Hotel Morón
380,Ulladulla,AU,65.3,overcast clouds,-35.35,150.4667,Sandpiper Motel
381,Rio Grande,BR,83.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
382,Benjamin Hill,MX,72.37,clear sky,30.1667,-111.1,Hotel Benjamín Hill
383,Marawi,PH,68.97,light rain,7.9986,124.2928,Derogongan Residence
385,Hurghada,EG,64.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
389,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
391,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
393,Hostotipaquillo,MX,80.04,few clouds,21.0667,-104.0667,Departamento Luna
394,Buriti Dos Lopes,BR,85.75,heavy intensity rain,-3.175,-41.8669,Pousada Alves
395,Savannakhet,LA,86.7,broken clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
399,Chaparral,CO,81.05,scattered clouds,3.7232,-75.4832,HOTEL AMBEIMA
402,Sibu,MY,77.31,light rain,2.3,111.8167,RH HOTEL (4 Star)
403,Ojinaga,MX,75.42,clear sky,29.5667,-104.4167,Suites Las Palmas
404,Palauig,PH,79.86,scattered clouds,15.435,119.9045,Alperi Botique Resort
405,Vanimo,PG,77.67,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
407,Bembereke,BJ,92.66,broken clouds,10.2283,2.6634,Hotel Bio Guera
408,Nouadhibou,MR,69.78,sand,20.931,-17.0347,El Medina
417,Bhuj,IN,79.54,clear sky,23.2667,69.6667,Regenta Resort Bhuj
418,Eloy,US,70.97,clear sky,32.7559,-111.5548,Eloy RV & Mobile Home Park
419,Antofagasta,CL,74.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
421,Aguas Formosas,BR,85.53,scattered clouds,-17.0822,-40.9358,HOTEL HAVAY PALACE
423,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
425,Mabai,CN,59.16,clear sky,23.0128,104.4508,Yingpan Hostel
426,Porto Belo,BR,83.25,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
428,Miracema Do Tocantins,BR,84.4,light rain,-9.5618,-48.3967,Miami Apart Hotel
431,Kapoeta,SS,82.9,overcast clouds,4.7717,33.5903,Eastgate Hotel
432,Cozumel,MX,84.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
438,Phalaborwa,ZA,72.21,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
439,La Romana,DO,86.36,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
441,Indian Head,US,59.04,heavy intensity rain,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
